seed,patient_id,model,gt_nonempty,pred_nonempty,dice,hd95,fnr,fpr
2,BraTS2021_01198,2d_bce_dice,True,True,0.665,12.329,0.163,0.029
2,BraTS2021_01198,2d_boundary,True,True,0.704,12.365,0.070,0.188
2,BraTS2021_01198,25d_bce_dice,True,True,0.693,11.662,0.186,0.000
2,BraTS2021_01198,25d_boundary,True,True,0.696,11.225,0.081,0.087
2,BraTS2021_01229,2d_bce_dice,True,True,0.752,10.296,0.039,0.000
2,BraTS2021_01229,2d_boundary,True,True,0.713,12.570,0.013,0.165
2,BraTS2021_01229,25d_bce_dice,True,True,0.773,8.062,0.053,0.000
2,BraTS2021_01229,25d_boundary,True,True,0.755,9.000,0.000,0.114
2,BraTS2021_01280,2d_bce_dice,True,True,0.962,1.414,0.013,0.000
2,BraTS2021_01280,2d_boundary,True,True,0.963,1.414,0.013,0.145
2,BraTS2021_01280,25d_bce_dice,True,True,0.954,2.000,0.000,0.000
2,BraTS2021_01280,25d_boundary,True,True,0.959,1.414,0.000,0.158
2,BraTS2021_01473,2d_bce_dice,True,True,0.786,11.576,0.065,0.000
2,BraTS2021_01473,2d_boundary,True,True,0.822,11.000,0.052,0.013
2,BraTS2021_01473,25d_bce_dice,True,True,0.746,12.884,0.065,0.000
2,BraTS2021_01473,25d_boundary,True,True,0.779,12.689,0.013,0.000
2,BraTS2021_01608,2d_bce_dice,True,True,0.969,2.000,0.047,0.000
2,BraTS2021_01608,2d_boundary,True,True,0.975,1.414,0.023,0.014
2,BraTS2021_01608,25d_bce_dice,True,True,0.970,2.000,0.035,0.000
2,BraTS2021_01608,25d_boundary,True,True,0.972,1.732,0.023,0.116
